director_name,duration,actor_2_name,gross,genres,actor_1_name,movie_title,actor_3_name,plot_keywords,budget,title_year,imdb_score
Jon Avnet,101,Al Pacino,40076438122008, Action | Crime | Drama | Mystery | Thriller,Robert De Niro,Righteous Kill,Carla Gugino,nypd|execution|serial killer|new york city|blood splatter,60000000,2008,6.0
Ridley Scott,128,Russell Crowe,3938044292009, Action | Drama | Romance | Thriller | War,Leonardo DiCaprio,Body of Lies,Mark Strong,spy|middle east|jordan|terrorist|cia,70000000,2008,7.1
Neil LaBute,110,Patrick Wilson,39263506312008, Crime | Drama | Thriller,Samuel L. Jackson,Lakeview Terrace,Kerry Washington,interracial couple|neighbor|suburb|white male black female relationship|lapd,22000000,2008,6.1
Jason Friedberg,86,Kevin Sorbo,38232624252008, Comedy,Sean Maguire,Meet the Spartans,Carmen Electra,king|spartan|xerxes|persian|training,30000000,2008,2.7
Jon Hurwitz,107102,Kal Penn,38087366112008, Adventure | Comedy,John Cho,Harold & Kumar Escape from Guantanamo Bay,Neil Patrick Harris,texas|guantanamo bay|escape|bong|ex girlfriend,12000000,2008,6.6
David E. Talbert,,Katt Williams,37931869222008, Comedy | Crime | Drama,Ice Cube,First Sunday,Tracy Morgan,church|money|theft|slapstick comedy|singer,,2008,4.3
Gina Prince-Bythewood,114110,Jennifer Hudson,37766350202009, Drama,Dakota Fanning,The Secret Life of Bees,Queen Latifah,racism|insect in title|south carolina|escape|sister,11000000,2008,7.3
Tyler Perry,,Alfre Woodard,37019849172008, Drama,Kathy Bates,The Family That Preys,Sanaa Lathan,diner|road trip|infidelity|deceit|alzheimers disease,,2008,5.3
Paul W.S. Anderson,105111,Joan Allen,36064910102008, Action | Sci-Fi | Thriller,Jason Statham,Death Race,Tyrese Gibson,prison|car|warden|murder|armored car,45000000,2008,6.4
Clint Eastwood,141,Colm Feore,3570732722009, Biography | Crime | Drama | Mystery | Thriller,Angelina Jolie,Changeling,Amy Ryan,missing child|los angeles police department|wrongful conviction|miscarriage of justice|execution by hanging,55000000,2008,7.8
