director_name,duration,actor_2_name,gross,genres,actor_1_name,movie_title,actor_3_name,plot_keywords,budget,title_year,imdb_score
Shawn Levy,127,Evangeline Lilly,85463309102012, Action | Drama | Family | Sci-Fi | Sport,Hugh Jackman,Real Steel,Dakota Goyo,robot|boxing|robot battle|arena|boxing movie,110000000,2011,7.1
Glenn Ficarra,,Ryan Gosling,84244877112011, Comedy | Drama | Romance,Steve Carell,"Crazy, Stupid, Love.",Julianne Moore,male objectification|divorce|friend|bar|girl,50000000,2011,7.4
Jonathan Liebesman,116,Michelle Rodriguez,83552429272011, Action | Sci-Fi,Aaron Eckhart,Battle Los Angeles,Bridget Moynahan,invasion|extraterrestrial|marine|mission|alien,70000000,2011,5.8
Tarsem Singh,110,Mickey Rourke,83503161172012, Action | Drama | Fantasy | Romance,Henry Cavill,Immortals,John Hurt,torture device|castration|torture|olympus|burned alive,75000000,2011,6.0
Alexander Payne,115,Shailene Woodley,82624961272012, Comedy | Drama,George Clooney,The Descendants,Amara Miller,father daughter relationship|daughters|boating accident|marriage|hospital,20000000,2011,7.3
Frank Coraci,,Rosario Dawson,80360866212011, Comedy | Family | Romance,Kevin James,Zookeeper,Leslie Bibb,zoo|champagne bottle|red bull|jewelry box|coca cola,80000000,2011,5.2
Steven Spielberg,146,Emily Watson,79883359272012, Drama | War,Jeremy Irvine,War Horse,David Thewlis,world war one|cavalry|england|horse|epic,66000000,2011,7.2
Neil Burger,105,Anna Friel,7923546812011, Mystery | Sci-Fi | Thriller,Bradley Cooper,Limitless,Abbie Cornish,drug|experimental drug|brain capacity|neuropharmacology|rapid learning,27000000,2011,7.4
Brett Ratner,104,Ben Stiller,78009155272012, Action | Comedy | Crime,Eddie Murphy,Tower Heist,Casey Affleck,apartment|manager|fraud|fbi|heist,75000000,2011,6.2
Steven Spielberg,107,Andy Serkis,77564037162012, Animation | Action | Adventure | Family | Mystery,Jamie Bell,The Adventures of Tintin,Daniel Craig,tintin|ship|treasure|captain|morocco,135000000,2011,7.4
Steven Soderbergh,106,Kate Winslet,7563874392011, Drama | Thriller,Matt Damon,Contagion,Jude Law,virus|infection|contagion|cure|panic,60000000,2011,6.6
Cameron Crowe,124,Scarlett Johansson,75621915112012, Comedy | Drama | Family,Matt Damon,We Bought a Zoo,Thomas Haden Church,love at first sight|blocked road|zookeeper|father son relationship|teenage boy,50000000,2011,7.1
Bennett Miller,133,Robin Wright,75605492272012, Biography | Drama | Sport,Brad Pitt,Moneyball,Jonah Hill,strategy|voice over|statistics|baseball|meeting,50000000,2011,7.6
Dennis Dugan,91,Katie Holmes,74158157242012, Comedy,Adam Sandler,Jack and Jill,Al Pacino,twins|advertising executive|advertising|woman played by man|protective male,79000000,2011,3.4
